
ipaddr	name	connection
001129096207	ZTE Blade Q Lux	1
001129096055	F8332	1
001136096229	SM-G930F	1
001041158155	GT-I9506	1
001047011196	GT-I9300	1
001047199187	GT-I9300	1
001047069017	GT-I9300	1
001009107244	A11w	1
100036101148	XT1096	1
100037220193	LG-D850	1
100037090088	A0001	1
103014061252	Nexus 6P	1
103198172023	STV100-3	1
103199147155	XT1068	1
103226000090	KIW-L22	1
103230104011	SM-N7502	1
103230105017	SM-N7502	1
103230107017	SM-N7502	1
103230107029	SM-N7502	1
103232129217	C9660	1
103238105247	SM-G900F	1
103062143246	HUAWEI TIT-AL00	1
103066049107	Redmi Note 3	1
104001196175	SM-N900T	1
104129024147	Nexus 6	1
104139067098	Nexus 5	1
104014053097	Nexus 6P	1
104145225090	MotoG3	1
104156232238	KFFOWI	1
104178049081	Nexus 7	1
104218128030	LGMS395	1
104238169146	Nexus 5	1
104238191028	KFFOWI	1
104254090243	D5503	1
105110057174	PGN409	1
105112039100	9002X	1
105112039079	9002X	1
105112039081	9002X	1
105112039093	9002X	1
105154196227	ASUS_Z00UDB	1
105154238038	SM-G901F	1
105156250092	PGN517	1
105156057255	ONE A2003	1
105157166157	K6000 Pro	1
105157072252	SM-N7508V	1
105158011195	K6000 Pro	1
105209094028	Nexus 5X	1
105227244024	Nexus 5	1
105228238002	Nexus 5	1
105232042144	SM-G900F	1
105235133053	SM-G930F	1
105066005225	SM-J120G	1
105066006079	SM-J120G	1
105066007181	SM-G901F	1
105071135137	SM-G935F	1
105071005127	SM-J700F	1
106066139033	vivo Y51L	1
106066249110	HM NOTE 1LTE	1
106078190091	HM NOTE 1LTE	1
106079085125	V4S	1
107107062142	SAMSUNG-SM-G930A	1
107134084021	XT1575	1
107135032150	MotoG3	1
107138189086	XT1609	1
107146249235	KFFOWI	1
107146249235	LG-D959	1
107152098142	SM-N910T	1
107170229200	TECNO-J8	1
107179159228	Nexus 6P	1
107194185225	SM-J320VPP	1
107216220016	HTC One M9	1
107077168075	S60	1
107077168083	S60	1
107077168099	S60	1
107077172103	S60	1
107077172021	ONEPLUS A3000	1
107077172027	A521L	1
107077172029	ONEPLUS A3000	1
107077172043	A521L	1
107077172071	S60	1
107077172079	S60	1
107077172087	S60	1
107092056012	SGH-I547	1
107092059144	ONE A2005	1
108162143131	Transformer TF101	1
108170180007	ONEPLUS A3000	1
108175224010	Nexus 5	1
108184027070	Fire Phone	1
108020149044	SM-N930P	1
108028228115	SM-N900V	1
108028044184	SM-N920T	1
108005105228	Pixel	1
108054123250	A0001	1
108060163236	SM-G930W8	1
108061123072	HUAWEI Y300-0100	1
108091051042	SAMSUNG-SM-G930A	1
109104039100	A0001	1
109104044207	A0001	1
109104052077	GT-I9195	1
109143053058	CINK PEAX 2	1
109152019084	SM-G935F	1
109157074171	SM-G930F	1
109175087093	SM-J500FN	1
109190136197	Nexus 5	1
109190029193	Nexus 7	1
109020226076	Aquaris E5 HD	1
